,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
148,J,7217,0,12,11.62475932,0,1,37.793152,-122.396431,0,0,0,0,0,0,J-CHURCH,Embarc Sta,1312,0,Metro Embarcadero Station
141,J,6994,0,13,11.54221112,0,0,37.788791,-122.402127,0,161.8666667,161.8666667,46.61966667,17.28,17.28,J-CHURCH,Montgmey Sta,1017,52,Metro Montgomery Station/Downtown
142,J,6995,0,14,11.54209502,0,0,37.7843,-122.407822,0,167.25,167.25,47.26566667,16.95666667,16.95666667,J-CHURCH,Powell Stat,1222,248,Metro Powell Station/Outbound
144,J,6997,0,15,11.54194641,0,0,37.778675,-122.414995,0,209.7733333,209.7733333,59.432,17,17,J-CHURCH,CivicCenter Sta,650,311,Metro Civic Center Station/Outbd
143,J,6996,0,16,11.62429918,0.333333333,0,37.775234,-122.41934,0,136.11,136.11,37.936,16.72,16.72,J-CHURCH,Van Ness Sta,475,536,Metro Van Ness Station
146,J,7162,0,17,12.24291667,1,0,37.769463,-122.429133,0,327,327,72.812,13.36,13.36,,,,,
149,J,7316,0,18,11.95310364,0,0.333333333,37.767786,-122.428996,0,207.36,207.36,35.489,9.13,9.13,J-CHURCH,Church&14th,726,810,Church St & 14th St
101,J,3984,0,19,11.95207983,0,0,37.764621,-122.428722,0,196.47,196.47,26.061,7.96,7.96,J-CHURCH,Church&16th,232,284,Church St & 16th St
103,J,3987,0,20,11.95108403,0,0,37.761467,-122.428416,0,196.47,196.47,25.942,7.92,7.92,J-CHURCH,Church&18th,286,340,Church St & 18th St
125,J,6214,0,21,11.95003641,0,0,37.758264,-122.427924,0,202.2,202.2,26.537,7.87,7.87,J-CHURCH,ROW&20th,63,237,Right Of Way/20th St
130,J,6221,0,22,11.94958683,0,0,37.757451,-122.426999,0,78.67,78.67,9.044,6.9,6.9,J-CHURCH,ROW&Liberty,12,95,Right Of Way/Liberty St
127,J,6216,0,23,11.94934174,0,0,37.756643,-122.426922,0,48.65,48.65,6.664,8.22,8.22,J-CHURCH,ROW&21st,13,148,Right Of Way/21st St
129,J,6218,0,24,11.9487395,0,0,37.75491033,-122.4276813,0,112.62,112.62,15.07333333,8.026666667,8.026666667,J-CHURCH,ROW&22nd,35,179,Right Of Way/22nd St
105,J,3995,0,25,11.94761905,0,0,37.7518,-122.427497,0,210.68,210.68,25.54533333,7.276666667,7.276666667,J-CHURCH,Church&24th,145,868,Church St & 24th St
112,J,4002,0,26,11.94761905,0,0,37.749388,-122.427289,0,116.62,116.62,19.873,10.22,10.22,J-CHURCH,Church&Clipper,31,194,Church St & Clipper St
107,J,3997,0,27,11.94761905,0,0,37.746985,-122.427073,0,116.62,116.62,19.754,10.16,10.16,J-CHURCH,Church&27th,51,331,Church St & 27th St
114,J,4004,0,28,11.94761905,0,0,37.742811,-122.426654,0,204.68,204.68,34.391,10.08,10.08,J-CHURCH,Church&Day,128,659,Church St & Day St
111,J,4001,0,29,11.93641457,0,0,37.742097,-122.426528,0,38.08,38.08,5.95,9.38,9.38,,,,,
100,J,3538,0,30,11.84458689,0,0,37.74217,-122.424457,0,103.0733333,103.0733333,13.884,8.21,8.21,J-CHURCH,30th&Dolores,60,170,30th St & Dolores St
135,J,6280,0,31,11.84649573,0,0,37.739385,-122.42432,0,150.1566667,150.1566667,22.464,8.98,8.98,J-CHURCH,S.Jose&Randall,66,171,San Jose Ave & Randall St
117,J,4788,0,32,11.85185185,0,0,37.732401,-122.433855,0,400.3566667,400.3566667,83.07,12.45,12.45,J-CHURCH,Glen Park Sta,18,146,San Jose Ave/Glen Park Station
137,J,6285,0,33,11.8548433,0,0,37.728996,-122.440016,0,233.4066667,233.4066667,48.087,12.36,12.36,J-CHURCH,S.Jose&S.Rosa,29,148,San Jose Ave & Santa Rosa Ave
138,J,6287,0,34,11.85666667,0,0,37.725877,-122.442359,0,137.4233333,137.4233333,29.25,12.77333333,12.77333333,J-CHURCH,S.Jose&S.Ynez,31,94,San Jose Ave & Santa Ynez Ave
