,STOP_ID,ROUTE_SHORT_NAME,DIR,STOP NAME,SEQ,Stop Latitude, Total Alightings ,Stop Longitude, Total Boardings ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,geometry
327,5184,E,0,,1,,,,,17.00744417,0,1,37.807132,-122.417324,0,0,0,0,0,0,POINT (-122.417324 37.807132)
308,3092,E,0,,2,,,,,17.0287574,0,0,37.807407,-122.414125,0,45.38,45.38,4.576,6.05,6.05,POINT (-122.414125 37.807407)
309,3095,E,0,,3,,,,,16.94485294,0,0,37.807841,-122.41081,0,63.62,63.62,6.584,6.21,6.21,POINT (-122.41081 37.807841)
312,4502,E,0,,4,,,,,17.06710059,0,0,37.806629,-122.40603,0,66.84,66.84,7.15,6.42,6.42,POINT (-122.40603 37.806629)
321,4529,E,0,,5,,,,,17.07831361,0,0,37.805022,-122.403314,0,42.85,42.85,4.81,6.74,6.74,POINT (-122.403314 37.805022)
318,4516,E,0,,6,,,,,17.08991124,0,0,37.80296,-122.401029,0,43.73,43.73,4.914,6.74,6.74,POINT (-122.401029 37.80296)
320,4518,E,0,,7,,,,,17.10189349,0,0,37.800605,-122.39892,0,45.65,45.65,5.174,6.8,6.8,POINT (-122.39892 37.800605)
314,4504,E,0,,8,,,,,17.11026627,0,0,37.798901,-122.397434,0,32.8,32.8,3.718,6.8,6.8,POINT (-122.397434 37.798901)
324,4534,E,0,,9,,,,,17.12266272,0,0,37.796355,-122.395181,0,49.37,49.37,5.59,6.79,6.79,POINT (-122.395181 37.796355)
335,7283,E,0,,10,,,,,16.94669118,0,0,37.794828,-122.39377,0,119.77,119.77,13.758,6.89,6.89,POINT (-122.39377 37.794828)
339,7794,E,0,,11,,,,,16.94669118,0,0,37.789597,-122.388626,0,136,136,15.572,6.87,6.87,POINT (-122.388626 37.789597)
315,4506,E,0,,12,,,,,17.13017751,0,0,37.784359,-122.388138,0,82.42,82.42,9.412,6.85,6.85,POINT (-122.388138 37.784359)
329,5234,E,0,,13,,,,,17.13017751,0,0,37.77972,-122.389872,0,77.48,77.48,8.684,6.72,6.72,POINT (-122.389872 37.77972)
331,5239,E,0,,14,,,,,17.04094828,1,0,37.776269,-122.394173,0,101.1,101.1,11.614,6.89,6.89,POINT (-122.394173 37.776269)
336,7366,E,0,,15,,,,,16.5,0,0,37.776153,-122.393944,0,45,45,4.86,6.48,6.48,POINT (-122.393944 37.776153)
337,7440,E,0,,17,,,,,16.5,1,0,37.752871,-122.38688,0,50,50,8.255,9.91,9.91,POINT (-122.38688 37.752871)
338,7440,E,1,,1,,,,,17.7,0,1,37.752871,-122.38688,0,0,0,0,0,0,POINT (-122.38688 37.752871)
332,5240,E,1,,3,,,,,16.9204244,0,1,37.776269,-122.394082,0,0,0,0,0,0,POINT (-122.394082 37.776269)
330,5237,E,1,,5,,,,,16.92756989,0,0,37.779621,-122.389824,0,88.61,88.61,13.216,8.95,8.95,POINT (-122.389824 37.779621)
333,7145,E,1,,6,,,,,16.92688172,0,0,37.784627,-122.387977,0,76.59,76.59,11.16,8.74,8.74,POINT (-122.387977 37.784627)
340,7795,E,1,,7,,,,,16.84742647,0,0,37.789677,-122.388535,0,127.78,127.78,18.47,8.67,8.67,POINT (-122.388535 37.789677)
316,4513,E,1,,8,,,,,16.84742647,0,0,37.795105,-122.393861,0,170,170,16.116,5.69,5.69,POINT (-122.393861 37.795105)
323,4532,E,1,,9,,,,,16.93129032,0,0,37.797085,-122.39567,0,51.69,51.69,5.239,6.08,6.08,POINT (-122.39567 37.797085)
313,4503,E,1,,10,,,,,16.93716129,0,0,37.799552,-122.397869,0,63.96,63.96,6.448,6.05,6.05,POINT (-122.397869 37.799552)
319,4517,E,1,,11,,,,,16.94154839,0,0,37.801264,-122.399369,0,43.86,43.86,4.464,6.11,6.11,POINT (-122.399369 37.801264)
