,ROUTE_SHORT_NAME,STOP_ID,DIR,SEQ,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
41,F,5184,0,1.0,16.91091674765144,0.0,1.0,37.807248,-122.417366,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
0,F,3092,0,2.0,16.91471935094384,0.0,0.0,37.807407,-122.414125,0.0,467.46000000000004,467.46000000000004,26.165999999999986,3.36,3.36,,,,,
1,F,3095,0,3.0,16.91852195423624,0.0,0.0,37.807841,-122.41081000000001,0.0,437.53999999999996,437.53999999999996,27.048000000000012,3.7099999999999995,3.7099999999999995,,,,,
23,F,4502,0,4.0,16.92385899814471,0.0,0.0,37.806629,-122.40603,0.0,264.07000000000005,264.07000000000005,40.425000000000004,9.19,9.19,,,,,
31,F,4529,0,5.0,16.92721088435374,0.0,0.0,37.805022,-122.40331399999998,0.0,170.03000000000003,170.03000000000003,27.19499999999999,9.6,9.6,,,,,
28,F,4516,0,6.0,16.9305612244898,0.0,0.0,37.80296,-122.401029,0.0,172.65999999999997,172.65999999999997,27.783,9.65,9.65,,,,,
30,F,4518,0,7.0,16.934256338899193,0.0,0.0,37.800605,-122.39892000000002,0.0,181.78999999999996,181.78999999999996,29.252999999999997,9.65,9.65,,,,,
25,F,4504,0,8.0,16.936992888064314,0.0,0.0,37.798901,-122.39743400000002,0.0,128.95000000000005,128.95000000000005,21.020999999999983,9.78,9.78,,,,,
34,F,4534,0,9.0,16.940890538033393,0.0,0.0,37.796355,-122.395181,0.0,194.92,194.92,31.604999999999986,9.73,9.73,,,,,
98,F,7283,0,10.0,16.943215831787256,0.0,0.0,37.794828,-122.39377,0.0,118.83,118.83,19.25700000000002,9.72,9.72,,,,,
35,F,4726,0,11.0,16.945887445887443,0.0,0.0,37.794105,-122.393874,0.0,131.63000000000002,131.63000000000002,7.350000000000001,3.35,3.35,,,,,
58,F,5669,0,12.0,16.94329593309185,0.0,0.0,37.793473,-122.396178,0.0,283.34000000000015,283.34000000000015,19.551000000000002,4.14,4.14,,,,,
53,F,5657,0,13.0,16.93940866389846,0.0,0.0,37.79111,-122.399069,0.0,417.6599999999999,417.6599999999999,33.36900000000001,4.79,4.79,,,,,
43,F,5639,0,14.0,16.937270665842092,0.0,0.0,37.789353,-122.40130600000002,0.0,230.19000000000014,230.19000000000014,25.284000000000002,6.59,6.59,,,,,
63,F,5678,0,15.0,16.935327031245393,0.0,0.0,37.78773,-122.40337,0.0,211.41000000000008,211.41000000000008,23.37299999999999,6.63,6.63,,,,,
73,F,5694,0,16.0,16.932929881909473,0.0,0.0,37.785857,-122.40574399999998,0.0,247.94999999999993,247.94999999999993,26.900999999999982,6.510000000000001,6.510000000000001,,,,,
51,F,5655,0,17.0,16.93084290426127,0.0,0.0,37.784082,-122.407992,0.0,227.10999999999999,227.10999999999999,25.578000000000003,6.760000000000001,6.760000000000001,,,,,
74,F,5695,0,18.0,16.92869268486616,0.0,0.0,37.782316,-122.410228,0.0,227.10999999999999,227.10999999999999,25.430999999999997,6.72,6.72,,,,,
52,F,5656,0,19.0,16.92660570721795,0.0,0.0,37.780568,-122.412441,0.0,227.10999999999999,227.10999999999999,25.13699999999999,6.64,6.64,,,,,
62,F,5676,0,20.0,16.924744235356478,0.0,0.0,37.779105,-122.414379,0.0,184.78999999999996,184.78999999999996,21.46199999999999,6.97,6.97,,,,,
