,MONTH,DOW,AGENCY_ID,ROUTE_SHORT_NAME,DIR,SEQ,NUMDAYS,OBSDAYS,TRIP_STOPS,OBS_TRIP_STOPS,IMP_TRIP_STOPS,WGT_TRIP_STOPS,STOP_ID,ROUTE_LONG_NAME,ROUTE_TYPE,TRIP_HEADSIGN,HEADWAY_S,FARE,STOPNAME,STOPNAME_AVL,EOL,SOL,TIMEPOINT,ARRIVAL_TIME_DEV,DEPARTURE_TIME_DEV,DWELL_S,DWELL,RUNTIME_S,RUNTIME,TOTTIME_S,TOTTIME,SERVMILES_S,SERVMILES,RUNSPEED_S,RUNSPEED,TOTSPEED_S,TOTSPEED,ONTIME5,ON,OFF,LOAD_ARR,LOAD_DEP,PASSMILES,PASSHOURS,WAITHOURS,FULLFARE_REV,PASSDELAY_DEP,PASSDELAY_ARR,RDBRDNGS,DOORCYCLES,WHEELCHAIR,BIKERACK,CAPACITY,VC,CROWDED,CROWDHOURS,Total_Pop,Total_Housing_Units,Workers_16_And_Over_Mean_Travel_Time_To_Work_(Minutes),VAC_RATE,OCC_RATE,PER_INCOME_0-15,PER_INCOME_15-50,PER_INCOME_50-100,PER_INCOME_100+,AVG_HH_SIZE,PER_HH_0VEH,POP_DEN_ACS,HH_DEN_ACS,HU_DEN_ACS,Average Hourly Price,parking_rate,PRICE1HR,PRICE2HR,PRICE3HR,PRICE4HR,PRICE12HR,PRICEDAY,PRICEDAYDISCOUNT,BART_FROMS,BART_TOS,CALTRAIN_OFF,CALTRAIN_ON,MUNI_RAIL_ALIGHTINGS,MUNI_RAIL_BOARDINGS,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED,HOUSING_09_SCALED,NUM_BUS_STOPS,Count_,EDD_EMP,FREQ_S
1,2009-10-01,1,SFMTA,016AX,0,4,22,0.0,13,0,0.0,13.0,7305,NORIEGA A EXP,3,48TH AVENUE,10.66666666666666,2.0,EDDY ST & CYRIL MAGNIN ST,,0,0,,,,0.0,,2.990000000000001,,2.990000000000001,,0.4290000000000002,0.4290000000000001,8.61,,8.61,,,,,,,,,,,,,,,,,,,,,6317.0,4775.0,29.4,0.16481675392670156,0.8351832460732984,0.6509528585757272,0.2780842527582748,0.06720160481444333,0.003761283851554609,1.5840020060180542,0.9127382146439318,129.00116307087168,81.44002506358022,97.51156461348936,350.0,0.320246428,,,,,,,,,,,,2496.0,4136.0,53.87457360869898,180.15121852535046,306.5278232785729,3867.6298306417607,43.92636491099748,1155.3053964623118,184.1228633846938,1410.5264634564267,24.604021374182647,1121.6467521976717,980.850695585575,12.0,0.0,7852.0,5.6250000000000036
63,2009-10-01,1,SFMTA,016BX,0,4,22,0.0,14,0,0.0,14.0,7305,NORIEGA B EXP,3,SUNSET BLVD.,9.615384615384617,2.0,EDDY ST & CYRIL MAGNIN ST,,0,0,,,,0.0,,3.22,,3.22,,0.4619999999999999,0.462,8.61,,8.61,,,,,,,,,,,,,,,,,,,,,6317.0,4775.0,29.4,0.16481675392670156,0.8351832460732984,0.6509528585757272,0.2780842527582748,0.06720160481444333,0.003761283851554609,1.5840020060180542,0.9127382146439318,129.00116307087168,81.44002506358022,97.51156461348936,350.0,0.320246428,,,,,,,,,,,,2496.0,4136.0,53.87457360869898,180.15121852535046,306.5278232785729,3867.6298306417607,43.92636491099748,1155.3053964623118,184.1228633846938,1410.5264634564267,24.604021374182647,1121.6467521976717,980.850695585575,12.0,0.0,7852.0,6.239999999999999
159,2009-10-01,1,SFMTA,1,0,41,22,0.0,5,0,0.0,8.655389868746568,7296,CALIFORNIA,3,6TH AVENUE,9.0,2.0,CORWALL ST & 6TH AVE,,0,0,,,,0.0,,3.5,,3.5,,0.625,0.9668296115815448,10.71,,10.71,,,,,,,,,,,,,,,,,,,,,4658.0,2059.0,29.6,0.047595920349684316,0.9524040796503156,0.1101478837327894,0.352371239163692,0.28250892401835803,0.2549719530851606,2.3753187149413564,0.3090260071392147,44.92217099605092,18.9120603957183,19.85718121100662,200.0,0.7218362290000001,,,,,,,,,,,,,,97.659677755392,9.206969095476547,451.6059062854528,248.3150375916384,68.56711532114143,51.11057479389058,240.941720789846,124.68882638051069,44.43739241907331,63.3086673217605,433.6626026231551,5.0,0.0,144.0,6.666666666666667
173,2009-10-01,1,SFMTA,1,0,55,22,0.0,164,0,0.0,165.81135852689664,3550,CALIFORNIA,3,GEARY & 33RD AV.,8.061646341463412,2.0,32ND AVE & GEARY BLVD,,0,0,,,,0.0,,103.85,,103.85,,21.155999999999988,21.1779529233592,12.22,,12.22,,,,,,,,,,,,,,,,,,,,,5978.0,2438.0,32.7,0.03691550451189498,0.9630844954881048,0.14395229982964225,0.2670357751277683,0.2270017035775128,0.3620102214650766,2.5459965928449746,0.22913117546848386,59.284882934520596,23.285531135873928,24.17807704823707,0.0,0.947044295,,,,,,,,,,,,,,79.3001697004954,23.561194800421426,406.2383154013477,152.9034653431744,65.77002422123121,18.057913017850748,228.62813450116548,96.80499658551192,32.53998697845553,14.479360939390247,409.42504908914566,8.0,0.0,104.0,7.442648493695685
229,2009-10-01,1,SFMTA,10,0,2,22,0.0,63,0,0.0,63.0,5472,TOWNSEND,3,DE HARO & 17TH ST.,12.619365079365075,2.0,NORTH POINT ST & VAN NESS AVE,,0,0,,,,0.0,,3.370000000000001,,3.370000000000001,,1.0710000000000004,1.0710000000000002,19.07,,19.07,,,,,,,,,,,,,,,,,,,,,4354.0,3031.0,24.4,0.08545034642032333,0.9145496535796768,0.046176046176046176,0.19408369408369408,0.33585858585858586,0.42388167388167386,1.5707070707070707,0.2521645021645021,34.17577804791276,21.758212390632558,23.79117667965631,375.0,1.052737905,,,,,,,,,,,,,,34.213257765694784,2.517355005413662,176.3933276359854,86.75955567915001,15.137250218474653,28.36307626516872,113.47633718856287,55.44438489018005,13.566482463253086,0.4347395183875708,203.5679735416923,8.0,0.0,75.0,4.754597368619659
310,2009-10-01,1,SFMTA,108,0,6,22,0.0,76,0,0.0,75.83346895250477,7254,TREASURE ISLAND,3,TREASURE ISLAND,18.94736842105263,2.0,TREASURE ISLAND RD & MACALLA RD,,0,0,,,,0.0,,0.0,,0.0,,0.76,0.7564941541398233,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,2530.0,909.0,29.7,0.29262926292629265,0.7073707370737073,0.1057542768273717,0.3297045101088647,0.343701399688958,0.22083981337480565,3.9346811819595646,0.19906687402799372,3.7629184921146654,0.9563464784307236,1.3519734819494986,0.0,,,,,,,,,,,,,,,5.841241649659728,0.0,32.02518055118249,2.3084227248012166,6.134818143277029,0.06376626616140718,17.217730761162702,2.244656458639809,2.8313899970830314,0.0,19.207741603948268,3.0,0.0,36.0,3.166666666666667
734,2009-10-01,1,SFMTA,18,0,2,22,0.0,63,0,0.0,63.0,4874,46TH AVENUE,3,STONESTOWN,18.19047619047619,2.0,LEGION OF HONOR,,0,0,,,,0.0,,1.46,,1.46,,0.3780000000000001,0.37799999999999995,15.53,,15.53,,,,,,,,,,,,,,,,,,,,,443.0,81.0,32.5,0.0,1.0,0.08641975308641975,0.13580246913580246,0.25925925925925924,0.5185185185185186,5.469135802469137,0.2222222222222222,1.7531957932183213,0.32056175903088946,0.32056175903088946,0.0,0.810247644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0371300165829316,0.2592825041457329,6.417241977606889,2.1485230324696856,0.9074887645100652,1.62995802417822,3.8244169361495604,0.2592825041457329,0.6482062603643323,0.0,0.12964125207286645,1.0,0.0,,3.298429319371728
778,2009-10-01,1,SFMTA,18,0,46,22,0.0,63,0,0.0,63.0,4828,46TH AVENUE,3,STONESTOWN,18.14793650793651,2.0,1100 LAKE MERCED BLVD,,0,0,,,,0.0,,152.94,,152.94,,46.935,46.935,18.41,,18.41,,,,,,,,,,,,,,,,,,,,,2753.0,1550.0,35.2,0.029677419354838717,0.9703225806451612,0.1283244680851064,0.2566489361702128,0.42819148936170215,0.18683510638297868,1.8304521276595744,0.12234042553191488,2.313362070483899,1.263820034147397,1.302474104340735,0.0,1.828547256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.7336364017556191,6.375747561756341,9.231361843423326,10.15823988551818,1.099988256197094,0.3860540778509453,6.174137895738399,3.396438245910895,1.2235992897322152,0.0,16.719676121671277,1.0,0.0,2.0,3.3061610047930583
984,2009-10-01,1,SFMTA,1AX,0,2,22,0.0,9,0,0.0,9.0,5942,CALIFORNIA A EXPRESS,3,GEARY & 33RD AV.,13.753750000000002,2.0,PINE ST & DAVIS ST,,0,0,,,,0.0,,1.4999999999999998,,1.4999999999999998,,0.099,0.099,3.96,,3.96,,,,,,,,,,,,,,,,,,,,,1531.0,1222.0,16.8,0.2405891980360065,0.7594108019639935,0.3588362068965517,0.3362068965517241,0.17780172413793102,0.1271551724137931,1.6497844827586208,0.7909482758620692,11.140964763791695,6.752981907771844,8.892396434587491,350.0,,1150.0,2300.0,3100.0,3100.0,3100.0,3100.0,2390.5,,,,,0.0,1312.0,12.321973723024833,178.75062172288503,60.691552411277605,17129.051199260553,6.000000000029262,706.857183826448,38.65351437702408,16126.040376138348,3.716064311199432,117.40301757287642,60.29120164382969,8.0,0.0,21966.0,4.362446605471234
1014,2009-10-01,1,SFMTA,1BX,0,2,22,0.0,11,0,0.0,11.0,5942,CALIRORNIA B EXPRESS,3,PARK PRESIDIO,11.0,2.0,PINE ST & DAVIS ST,,0,0,,,,0.0,,1.9799999999999995,,1.9799999999999995,,0.12099999999999995,0.121,3.67,,3.67,,,,,,,,,,,,,,,,,,,,,1531.0,1222.0,16.8,0.2405891980360065,0.7594108019639935,0.3588362068965517,0.3362068965517241,0.17780172413793102,0.1271551724137931,1.6497844827586208,0.7909482758620692,11.140964763791695,6.752981907771844,8.892396434587491,350.0,,1150.0,2300.0,3100.0,3100.0,3100.0,3100.0,2390.5,,,,,0.0,1312.0,12.321973723024833,178.75062172288503,60.691552411277605,17129.051199260553,6.000000000029262,706.857183826448,38.65351437702408,16126.040376138348,3.716064311199432,117.40301757287642,60.29120164382969,8.0,0.0,21966.0,5.454545454545455
1185,2009-10-01,1,SFMTA,20,1,29,22,0.0,42,0,0.0,42.0,4120,COLUMBUS,3,BEALE & MISSION,13.097117794486213,2.0,COLUMBUS AVE & UNION ST,,0,0,,,,0.0,,27.16,,27.16,,3.57,3.5699999999999994,7.89,,7.89,,,,,,,,,,,,,,,,,,,,,5376.0,2914.0,28.3,0.09643102264927934,0.9035689773507206,0.4352449677174326,0.3292821876186859,0.13748575769084695,0.0979870869730346,2.041777440182301,0.7770603873908091,118.77714047579501,58.17340232008338,64.38180568200643,200.0,0.811134364,700.0,950.0,1200.0,1200.0,1450.0,1450.0,1253.5,,,,,,,91.66086562885955,135.46628384924077,663.3042305436188,1072.688750770946,112.99855376282736,555.3449601482805,402.0281152824368,312.2215405133768,56.61669586949505,69.65596626004783,660.7989415943006,8.0,0.0,2946.0,4.581160598957088
1632,2009-10-01,1,SFMTA,26,0,2,22,0.0,53,0,0.0,52.95184365170663,7368,VALENCIA,3,BALBOA PARK STATION,22.074150943396226,2.0,MISSION ST & MARY ST,,0,0,,,,0.0,,20.32,,20.32,,2.7030000000000003,2.702713326529814,7.98,,7.98,,,,,,,,,,,,,,,,,,,,,5905.0,3422.0,26.4,0.20631209818819404,0.7936879018118059,0.3556701030927835,0.3243740795287187,0.2106038291605302,0.10935198821796754,2.1741531664212075,0.7308541973490427,37.93811281177236,17.449604470241113,21.985473673477568,300.0,,,,,,,,,,,,,,,57.69592731591688,85.9478863388686,364.9680818116384,3502.2850132246754,62.53794907736987,198.95091555797063,217.16483673400901,2975.1399761453167,27.56936868434245,242.24623518252045,536.2489197559462,6.0,0.0,3192.0,2.718111339994701
1888,2009-10-01,1,SFMTA,28,1,33,22,0.0,94,0,0.0,93.9569464153076,4773,19TH AVENUE,3,FORT MASON,12.35106382978723,2.0,GOLDEN GATE BRIDGE/PARKING LOT,GOLDEN GATE BR. PARKING L,0,0,,,,0.0,,454.3,,454.3,,150.024,149.99931176122143,19.81,,19.81,,,,,,,,,,,,,,,,,,,,,2627.0,1126.0,29.6,0.21492007104795732,0.7850799289520426,0.022624434389140267,0.13914027149321267,0.24773755656108604,0.5904977375565611,2.9717194570135748,0.01809954751131222,1.7402834996812162,0.5856150033186885,0.7459304227792346,0.0,,33.333333333333336,66.66666666666667,100.0,133.33333333333334,0.0,0.0,0.0,,,,,,,0.1419164116742852,0.0,0.26521636529424303,0.2456769652982157,0.002527966720424201,0.0,0.07388784412817588,0.2456769652982157,0.0468841427713577,0.0,0.12003157715574042,2.0,0.0,,4.857881136950906
