,ROUTE_SHORT_NAME,STOP_ID,DIR,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S,Route,STOP,Boardings,Alightings,STOP NAME
0,F,3092.0,0,16.91471935094384,0.0,0.0,37.807407,-122.414125,0.0,467.46000000000004,467.46000000000004,26.165999999999986,3.36,3.36,,,,,
1,F,3095.0,0,16.91852195423624,0.0,0.0,37.807841,-122.41081000000001,0.0,437.53999999999996,437.53999999999996,27.048000000000012,3.7099999999999995,3.7099999999999995,,,,,
2,F,3308.0,0,46.22727272727273,0.0,0.0,37.76281,-122.4285,0.0,66.0,66.0,5.412000000000002,4.92,4.92,,,,,
3,F,3311.0,0,9.504424778761063,1.0,0.0,37.76252,-122.434866,0.0,222.77000000000012,222.77000000000012,19.888000000000005,5.36,5.36,,,,,
4,F,3311.0,1,12.119354838709675,1.0,0.0,37.76252,-122.434866,0.0,82.38999999999999,82.38999999999999,9.841999999999999,7.166666666666667,7.166666666666667,,,,,
5,F,3318.0,0,45.61363636363637,1.0,0.0,37.762645,-122.432991,0.0,22.49999999999999,22.49999999999999,2.816000000000001,7.510000000000001,7.510000000000001,,,,,
6,F,3537.0,1,32.07272727272727,0.0,0.0,37.742304,-122.42402599999998,0.0,22.0,22.0,3.8940000000000006,10.62,10.62,,,,,
7,F,3538.0,0,46.22727272727273,0.0,0.0,37.74217,-122.424457,0.0,11.439999999999998,11.439999999999998,2.5080000000000005,13.15,13.15,,,,,
8,F,3985.0,1,32.103181818181824,0.0,0.0,37.764382,-122.428609,0.0,17.510000000000005,17.510000000000005,2.398,8.22,8.22,,,,,
9,F,3986.0,1,32.07272727272727,0.0,0.0,37.76281,-122.4285,0.0,13.86,13.86,2.4860000000000007,10.76,10.76,,,,,
10,F,3987.0,0,46.22727272727273,0.0,0.0,37.761467,-122.42841600000001,0.0,9.459999999999999,9.459999999999999,2.046,12.979999999999999,12.979999999999999,,,,,
11,F,3994.0,1,32.07272727272727,0.0,0.0,37.754785,-122.427659,0.0,23.099999999999998,23.099999999999998,4.862000000000001,12.63,12.63,,,,,
12,F,3995.0,0,46.22727272727273,0.0,0.0,37.7518,-122.427497,0.0,23.100000000000005,23.100000000000005,4.722666666666666,12.270000000000001,12.270000000000001,,,,,
13,F,3996.0,1,32.07272727272727,0.0,0.0,37.751591,-122.42735,0.0,17.16000000000001,17.16000000000001,3.674000000000001,12.85,12.85,,,,,
14,F,3997.0,0,46.22727272727273,0.0,0.0,37.746985,-122.427073,0.0,17.16,17.16,3.6519999999999992,12.770000000000001,12.770000000000001,,,,,
15,F,3998.0,1,32.07272727272727,0.0,0.0,37.746781,-122.426893,0.0,23.099999999999998,23.099999999999998,4.862000000000001,12.63,12.63,,,,,
16,F,3999.0,1,32.07272727272727,0.0,0.0,37.743587,-122.426585,0.0,9.899999999999999,9.899999999999999,2.0679999999999996,12.53,12.53,,,,,
17,F,4000.0,1,32.07272727272727,0.0,0.0,37.742222,-122.42645899999998,0.0,15.4,15.4,2.926,11.4,11.4,,,,,
