,EDD_EMP,Total_Housing_Units,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5
0,4276,764,826,0,0.065312046,154,0.61929868
1,4276,764,826,0,0.065312046,154,0.621834189
2,4276,764,826,0,0.065312046,154,0.799302336
3,4276,764,826,0,0.065312046,154,0.596411724
4,4276,764,826,0,0.065312046,154,0.553667393
5,32,1904,0,0,0.219957082,200,0.538845115
6,32,1904,0,0,0.219957082,200,0.769030927
7,270,2337,0,0,0.447944007,200,0.606255868
8,8,181,0,0,0.055248619,0,0.496033324
9,8,181,0,0,0.055248619,0,0.532079293
10,6419,1107,0,0,0.537463977,317,0.706344944
11,1790,5228,0,0,0.572901325,306,0.74841118
12,1962,5228,0,0,0.572901325,259,0.657982036
13,2308,5228,0,0,0.572901325,201,0.798746179
14,2493,5228,0,0,0.572901325,259,0.678696372
15,3897,5228,0,0,0.572901325,376,0.796662832
16,4635,5228,0,0,0.572901325,400,0.69498294
17,4635,5228,0,0,0.572901325,400,0.675892735
18,1820,5228,0,0,0.572901325,376,0.717504754
19,1093,5228,0,0,0.572901325,171,0.675273785
20,3058,5228,0,0,0.572901325,284,0.705020799
21,3058,5228,0,0,0.572901325,284,0.584983644
22,12918,1107,2085.5,11577,0.537463977,130,0.722470872
23,12918,1107,2085.5,11577,0.537463977,130,0.334894491
24,12918,1107,2085.5,11577,0.537463977,130,0.664752377
25,12918,1107,2085.5,11577,0.537463977,130,0.540864962
26,13859,1107,2085.5,11577,0.537463977,102,0.733882119
27,13859,1107,2085.5,11577,0.537463977,102,0.697136197
28,2208,5228,1129,0,0.572901325,306,0.847905202
29,1596,5228,1129,0,0.572901325,318,0.641151735
30,5,2444,107.5,0,0.518923849,125,0.437697415
31,181,2500,0,0,0.241619504,200,0.607685012
32,192,2500,0,0,0.241619504,200,0.596838166
33,192,2500,0,0,0.241619504,200,0.525183824
34,192,2500,0,0,0.241619504,200,0.568345448
35,30,2500,0,0,0.241619504,0,0.616544849
36,35,2500,0,0,0.241619504,0,0.569504328
37,15,2585,201.5,0,0.409546731,0,0.665555141
38,,1126,0,0,0.590497738,0,0.65292673
39,,1126,0,0,0.590497738,0,0.406891148
40,125,2614,0,0,0.575189647,0,0.546683991
41,125,2614,0,0,0.575189647,0,0.589642299
42,2848,1805,0,0,0.631472764,220,0.758306197
43,2848,1805,0,0,0.631472764,220,0.748144013
44,2848,1805,0,0,0.631472764,220,0.649390216
46,2399,1805,0,0,0.631472764,200,0.815887455
48,2379,1805,0,0,0.631472764,246,0.813745646
49,4466,1805,0,0,0.631472764,180,0.791214329
51,5172,655,0,0,-1.11E-16,257,0.759989355
52,5172,655,0,0,-1.11E-16,257,0.752727664
56,1475,2036,0,0,0.248434238,0,0.433865915
57,1475,2036,0,0,0.248434238,0,0.431071151
58,105,2159,0,0,0.34559194,200,0.561488306
59,105,2159,0,0,0.34559194,200,0.535555556
60,104,2159,0,0,0.34559194,200,0.753304511
61,104,2159,0,0,0.34559194,200,0.890119048
62,94,2887,0,0,0.325123153,200,0.560739907
63,94,2887,0,0,0.325123153,200,0.517037037
64,102,2159,0,0,0.34559194,200,0.74935832
65,102,2159,0,0,0.34559194,200,0.881785714
66,50,2887,0,0,0.325123153,0,0.559217842
67,50,2887,0,0,0.325123153,0,0.495925926
68,45,2887,0,0,0.325123153,0,0.747800955
69,45,2887,0,0,0.325123153,0,0.884828042
70,48,2887,0,0,0.325123153,0,0.558211837
71,48,2887,0,0,0.325123153,0,0.48037037
72,48,2887,0,0,0.325123153,0,0.752661411
73,48,2887,0,0,0.325123153,0,0.890119048
74,33,2887,0,0,0.325123153,0,0.53860296
75,33,2887,0,0,0.325123153,0,0.465555556
76,13,2887,0,0,0.325123153,0,0.757213607
77,13,2887,0,0,0.325123153,0,0.898535053
79,38,2294,0,0,0.281757402,0,0.552327049
80,38,2294,0,0,0.281757402,0,0.412847222
81,37,2294,0,0,0.281757402,0,0.749081701
82,37,2294,0,0,0.281757402,0,0.879938272
83,54,2294,0,0,0.281757402,0,0.544964644
84,54,2294,0,0,0.281757402,0,0.438888889
85,49,2294,0,0,0.281757402,0,0.75639836
86,49,2294,0,0,0.281757402,0,0.852391975
87,32,1974,0,0,0.241513634,0,0.541962056
88,32,1974,0,0,0.241513634,0,0.426736111
89,17,1596,0,0,0.408311346,0,0.756808395
90,17,1596,0,0,0.408311346,0,0.873225309
91,17,1974,0,0,0.241513634,0,0.532372458
92,17,1974,0,0,0.241513634,0,0.446875
93,18,1596,0,0,0.408311346,0,0.762738467
94,18,1596,0,0,0.408311346,0,0.855864198
95,54,1974,0,0,0.241513634,0,0.551793579
96,54,1974,0,0,0.241513634,0,0.511111111
97,55,1596,0,0,0.408311346,0,0.756779129
98,55,1596,0,0,0.408311346,0,0.873961841
99,101,1974,0,0,0.241513634,0,0.536824813
100,101,1974,0,0,0.241513634,0,0.477777778
101,29,1596,0,0,0.408311346,0,0.756313641
