,EDD_EMP,MUNI_RAIL_AVG,AVG_BART,SHR_INCOME_100P,PARK_HOURLY_AVG_ON,ONTIME5,
0,84,2660.15,0,0.697573657,154,0.783765576,
1,84,2660.15,0,0.697573657,154,0.577916366,
2,84,2660.15,0,0.697573657,154,0.277249268,
3,84,2660.15,0,0.697573657,154,0.722235276,
4,81,0,0,0.208029197,0,0.599620436,
5,81,0,0,0.208029197,0,0.619247902,
6,3610,0,0,0.651525707,306,0.541655048,
7,4345,0,0,0.651525707,259,0.57866538,
8,6984,0,0,0.651525707,400,0.646307774,
9,6984,0,0,0.651525707,400,0.559290355,
10,4671,0,0,0.651525707,376,0.517151301,
11,4801,0,0,0.651525707,171,0.639637995,
12,5356,0,0,0.651525707,284,0.662270899,
13,5356,0,0,0.651525707,284,0.593523608,
14,17242,9163.45,8882.5,0.651525707,102,0.700913014,
15,17242,9163.45,8882.5,0.651525707,102,0.649677008,
16,1774,2728,0,0.651525707,318,0.550511679,
17,24,496.05,0,0.518356279,125,0.749148674,
18,321,0,0,0.272410792,200,0.602680702,
19,332,0,0,0.272410792,200,0.576697106,
20,78,0,0,0.272410792,0,0.631924235,
21,87,0,0,0.272410792,0,0.537044419,
22,,0,0,0.73286052,0,0.634331384,
23,114,0,0,0.576243321,0,0.644940257,
24,114,0,0,0.576243321,0,0.541143421,
25,3769,0,0,0.520859671,220,,
26,3259,0,0,0.520859671,200,,
27,4067,0,0,0.520859671,180,,
28,14002,0,0,0.041257367,257,,
29,970,0,0,0.355295266,0,0.217409812,
30,970,0,0,0.355295266,0,0.35303288,
31,151,0,0,0.346882217,200,0.515596324,
32,151,0,0,0.346882217,200,0.331841797,
33,191,0,0,0.346882217,200,0.695617776,
34,191,0,0,0.346882217,200,0.763310713,
35,181,0,0,0.398907104,200,0.518455364,
36,181,0,0,0.398907104,200,0.316691805,
37,182,0,0,0.346882217,200,0.694583838,
38,182,0,0,0.346882217,200,0.766135526,
39,45,0,0,0.398907104,0,0.514987262,
40,45,0,0,0.398907104,0,0.308748115,
41,44,0,0,0.398907104,0,0.691777671,
42,44,0,0,0.398907104,0,0.756052881,
43,52,0,0,0.398907104,0,0.517834771,
