,ROUTE_SHORT_NAME,DIR,STOPNAME,STOP_ID
3833,44,1,100 O'Shaughnessy Blvd  ,5829
4493,53,0,101 Dakota St   ,4343
314,10,1,101 Dakota St   ,4343
1142,19,1,1095 CONNECTICUT ST,4122
4824,6,1,10th Ave & Ortega St  ,3230
4825,6,1,10th Ave & Pacheco St  ,3231
4771,6,0,10th Ave & Pacheco St  ,3232
4772,6,0,10th Ave & Quintara St  ,3234
4826,6,1,10th Ave & Quintara St  ,3233
5429,88,1,1100 Lake Merced Blvd  ,4828
948,18,0,1100 Lake Merced Blvd  ,4828
5402,88,0,1100 Lake Merced Blvd   ,4829
1010,18,1,1100 Lake Merced Blvd   ,4829
3432,39,0,115 TELEGRAPH Hill Blvd,6651
3016,36,1,117 Warren Dr   ,6907
5796,9,1,11th St & Bryant St   ,3235
5906,90,1,11th St & Bryant St   ,3235
5907,90,1,11th St & Folsom St   ,3236
5728,9,0,11th St & Folsom St   ,3237
3964,47,0,11th St & Folsom St   ,3237
5797,9,1,11th St & Folsom St   ,3236
5857,90,0,11th St & Folsom St   ,3237
3999,47,1,11th St & Folsom St   ,3236
5908,90,1,11th St & Harrison St   ,3238
5858,90,0,11th St & Harrison St   ,3239
5798,9,1,11th St & Harrison St   ,3238
1969,27,0,11th St & Harrison St   ,3239
6396,9L,1,11th St & Harrison St   ,3238
451,12,0,11th St & Harrison St   ,3238
3965,47,0,11th St & Harrison St   ,3239
4000,47,1,11th St & Harrison St   ,3238
6377,9L,0,11th St & Harrison St   ,3239
5729,9,0,11th St & Harrison St   ,3239
5859,90,0,11th St & Howard St   ,3241
3966,47,0,11th St & Howard St   ,3241
5909,90,1,11th St & Howard St   ,3240
4001,47,1,11th St & Howard St   ,3240
5730,9,0,11th St & Howard St   ,3241
5799,9,1,11th St & Howard St   ,3240
5731,9,0,11th St & Market St   ,3245
6378,9L,0,11th St & Market St   ,3245
5800,9,1,11th St & Market St   ,3244
6397,9L,1,11th St & Market St   ,3244
3967,47,0,11th St & Mission St   ,3243
5732,9,0,11th St & Mission St   ,3243
5860,90,0,11th St & Mission St   ,3243
5801,9,1,11th St & Mission St   ,3242
4773,6,0,11th St/btw Market & Mission,7408
6612,L-OWL,0,120 Portola Dr  ,6009
3100,37,0,120 Portola Dr  ,6009
6538,K-OWL,0,120 Portola Dr  ,6009
6713,M-OWL,0,120 Portola Dr  ,6009
3597,43,0,126 Miraloma Dr  ,5513
406,108,0,13th St & Gateview Ave  ,3246
425,108,1,13th St & Gateview Ave  ,3246
4529,53,1,14 Dakota St  ,4342
228,10,0,14 Dakota St  ,4342
4774,6,0,14th Ave & Quintara St   ,3247
4827,6,1,14th Ave & Quintara St   ,3247
4909,66,1,14th Ave & Santiago St  ,3248
4035,48,0,14th Ave & Santiago St  ,3248
4036,48,0,14th Ave & Taraval St  ,3250
4121,48,1,14th Ave & Taraval St  ,3249
4122,48,1,14th Ave & Ulloa St  ,3252
4037,48,0,14th Ave & Ulloa St  ,3251
3153,37,1,14th St & Alpine Ter  ,3253
