,AGENCY_ID,ARRIVAL_TIME_DEV,AVG_HH_SIZE,BART_FROMS,BART_TOS,BIKERACK,CALTRAIN_OFF,CALTRAIN_ON,CAPACITY,CROWDED,CROWDHOURS,DEPARTURE_TIME_DEV,DIR,DOORCYCLES,DOW,DWELL,DWELL_S,EDD_EMP,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,EOL,FARE,FREQ_S,FULLFARE_REV,HEADWAY_S,HH_DEN_ACS,HU_DEN_ACS,IMP_TRIP_STOPS,LOAD_ARR,LOAD_DEP,MONTH,MUNI_RAIL_ALIGHTINGS,MUNI_RAIL_BOARDINGS,NUMDAYS,NUM_BUS_STOPS,OBSDAYS,OBS_TRIP_STOPS,OCC_RATE,OFF,ON,ONTIME5,PASSDELAY_ARR,PASSDELAY_DEP,PASSHOURS,PASSMILES,POP_DEN_ACS,RDBRDNGS,ROUTE_LONG_NAME,ROUTE_SHORT_NAME,ROUTE_TYPE,RUNSPEED,RUNSPEED_S,RUNTIME,RUNTIME_S,SEQ,SERVMILES,SERVMILES_S,SOL,STOPNAME,STOPNAME_AVL,STOP_ID,TIMEPOINT,TOTSPEED,TOTSPEED_S,TOTTIME,TOTTIME_S,TRIP_HEADSIGN,TRIP_STOPS,Total_Housing_Units,Total_Pop,VAC_RATE,VC,WAITHOURS,WGT_TRIP_STOPS,WHEELCHAIR,HOURLY_AVG_ON_PARK,TRANSBAY,HOUSING_09_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,SHR_HH_0VEH,SHR_INCOME_0_15,SHR_INCOME_100P,SHR_INCOME_15_50,SHR_INCOME_50_100,12_HR_OFF_PUB_PARK,1_HR_OFF_PUB_PARK,2_HR_OFF_PUB_PARK,3_HR_OFF_PUB_PARK,4_HR_OFF_PUB_PARK,DAY_OFF_PUB_PARK,DAY_DISCOUNT_OFF_PUB_PARK,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
307,SFMTA,0.1368421052631579,3.9346811819595646,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.1368421052631579,0,0.0,1,0.0,0.0,,26.679465720870784,1.646899147701102,0.024239033914085044,7.107062462910245,0,2.0,3.166666666666667,0.0,18.94736842105263,0.9563464784307236,1.3519734819494986,0.0,53.63636363636363,53.63636363636363,2009-10-01,0.0,0.0,22,2.0,0.0,0,0.7073707370737073,0.0,0.0,0.03508771929824561,0.0,0.0,3.861818181818182,124.49,3.7629184921146654,0.0,TREASURE ISLAND,108,3,40.0,25.18,11.585454545454546,420.2799999999999,3,175.58229317585304,176.39600000000004,0,62 MACALLA ST,,5413,0.0,909.32,25.18,11.585454545454546,420.2799999999999,TREASURE ISLAND,76,909.0,2530.0,0.29262926292629265,0.01113895850737956,0.0,75.83346895250477,0.0,0.0,0.0,9.329485872890677,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,0.9924452320208059,0.0,29.7,
311,SFMTA,1.0059395624477865,3.9346811819595646,0.0,0.0,0.7925925925925925,0.0,0.0,1536.15,0.0,0.0,1.1634048924394318,0,126.49645428116207,1,11.935426343376035,0.0,,12.797062729780679,3.7377559458270313,0.06335179569198357,13.177173503932586,0,2.0,3.166666666666667,57.308315902908404,18.94736842105263,0.9563464784307236,1.3519734819494986,0.0,1264.3381301058585,1002.7051589302008,2009-10-01,0.0,0.0,22,1.0,11.0,9,0.7073707370737073,290.28712912711154,28.65415795145421,0.7430712197159566,60.99116903315508,67.05300036201064,14.863355899805699,270.5683598426537,3.7629184921146654,0.0,TREASURE ISLAND,108,3,17.89,27.32,42.50573323985279,35.72,7,16.228362355836015,16.264,0,TREASURE ISLAND RD/GUARD STATION,TREASURE ISLAND GATE SE-N,6684,1.0,17.89,27.32,54.44115958322882,35.72,TREASURE ISLAND,76,909.0,2530.0,0.29262926292629265,0.2645932166726339,3.8689663710508175,75.83346895250477,0.0,0.0,0.0,1.8372020750675235,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,2.0272574621434742,0.0,29.7,
314,SFMTA,1.14901651856915,3.9346811819595646,0.0,0.0,0.0,0.0,0.0,1549.0363636363636,0.0,0.0,1.1504638869902029,0,0.5,1,0.11,0.0,,10.764530358877527,3.144095500860268,0.05328975425186895,11.084268884388742,0,2.0,3.166666666666667,2.892207792207792,18.94736842105263,0.9563464784307236,1.3519734819494986,5.0,662.6047140192652,653.4719311853015,2009-10-01,0.0,0.0,22,0.0,1.0,1,0.7073707370737073,10.578886730067833,1.446103896103896,0.6965276195539353,2.462142857142857,2.462142857142857,3.525861010234589,79.51256568231184,3.7629184921146654,0.0,TREASURE ISLAND,108,3,22.86,17.14,23.772675101620823,31.920000000000005,10,9.099452010977686,9.120000000000003,0,CALIFORNIA AVE & AVENUE M,CALIFORNIA AVE&AVENUE M S,3907,0.0,22.86,17.14,23.882675101620823,31.920000000000005,TREASURE ISLAND,76,909.0,2530.0,0.29262926292629265,0.13838527997884725,0.19954004329004327,75.83346895250477,0.0,0.0,0.0,1.5454028733041996,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,1.7052721360598064,0.0,29.7,
316,SFMTA,1.2407773944805196,3.9346811819595646,0.0,0.0,2.1810011784698493,0.0,0.0,1544.740909090909,0.0,0.0,1.2943134267961574,0,29.235307957259394,1,4.057808921213557,0.0,,4.7671780577344505,1.3923935911204584,0.023599891374923024,4.908777405983988,0,2.0,3.166666666666667,75.45050064026556,18.94736842105263,0.9563464784307236,1.3519734819494986,0.0,500.3706829597423,504.99838596767256,2009-10-01,0.0,0.0,22,0.0,11.0,9,0.7073707370737073,33.09754731220249,37.72525032013279,0.6772551644262169,92.8117563424674,102.3885931033307,10.004000494849873,120.58933459329786,3.7629184921146654,0.0,TREASURE ISLAND,108,3,11.82,17.01,88.71751376775343,64.6,12,18.27586601755365,18.316000000000006,0,AVENUE M & 8TH STREET,AVENUE M&8TH ST SE-NS/SB,3677,0.0,11.82,17.01,92.77532268896697,64.6,TREASURE ISLAND,76,909.0,2530.0,0.29262926292629265,0.10463185480938196,5.148492113076446,75.83346895250477,2.5485281385281384,0.0,0.0,0.6843968498727677,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,0.7551965239975368,0.0,29.7,
317,SFMTA,1.0348304180590364,3.9346811819595646,0.0,0.0,1.705959595959596,0.0,0.0,1531.9499999999994,0.0,0.0,1.0806839929685323,0,16.173154367981954,1,3.471696509429268,0.0,,10.446695086446876,3.0512624262394348,0.05171631230914296,10.756992960301735,0,2.0,3.166666666666667,21.38396626362143,18.94736842105263,0.9563464784307236,1.3519734819494986,0.0,482.4190261149269,467.0215539383168,2009-10-01,0.0,0.0,22,0.0,10.0,9,0.7073707370737073,26.08945530842083,10.691983131810716,0.7124846839320523,34.463536945812805,38.53823850574713,4.303056312933155,75.25736807392859,3.7629184921146654,0.0,TREASURE ISLAND,108,3,18.95,17.02,33.98454699008594,41.8,13,11.83002115659074,11.856000000000002,0,AVENUE M & 10TH ST,AVENUE M&10TH ST NE-FS/SB,3678,0.0,18.95,17.02,37.4562434995152,41.8,TREASURE ISLAND,76,909.0,2530.0,0.29262926292629265,0.10091340012288216,1.4472257053291535,75.83346895250477,0.0,0.0,0.0,1.499773056965146,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,1.6549219938925748,0.0,29.7,
329,SFMTA,1.4958688454089766,3.9346811819595646,0.0,0.0,0.0,0.0,0.0,1519.3022727272726,0.006578947368421052,0.0885,1.5389131493506496,1,20.60012870723827,1,3.267394205760275,0.0,,0.0,0.0,0.8294233889414833,0.5529489259609889,0,2.0,2.285077951002227,78.0019836095642,26.257309941520468,0.9563464784307236,1.3519734819494986,6.0,1106.9282593417488,1135.2637534690261,2009-10-01,0.0,0.0,22,2.0,1.0,1,0.7073707370737073,10.665497677504977,39.0009918047821,0.7214983481430849,115.91121185555555,123.77613034496656,7.5048623261134875,95.19583030339041,3.7629184921146654,0.0,TREASURE ISLAND,108,3,13.52,13.58,25.79720546750929,28.88000000000001,10,6.548086305365202,6.5360000000000005,0,9TH ST & AVENUE H,9TH ST&AVENUE H SW-NS/SB,3229,0.0,13.52,13.58,29.064599673269573,28.88000000000001,TRANSBAY TERMINAL,76,909.0,2530.0,0.29262926292629265,0.2315035740505665,5.415098253346174,76.17116390187465,0.0,0.0,0.0,2.2117957038439555,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,0.0,0.0,29.7,
330,SFMTA,1.3201868421052634,3.9346811819595646,0.0,0.0,0.85,0.0,0.0,1519.3022727272726,0.006578947368421052,0.15,1.3210693181818185,1,1.0223177203507152,1,0.0664506518227965,0.0,,0.0,0.0,1.0668479892351117,0.7112319928234077,0,2.0,2.285077951002227,0.0,26.257309941520468,0.9563464784307236,1.3519734819494986,6.0,1135.2637534690261,1135.2637534690261,2009-10-01,0.0,0.0,22,0.0,1.0,1,0.7073707370737073,0.0,0.0,0.6816416040100249,0.0,0.0,7.090649156593652,141.90796918362827,3.7629184921146654,0.0,TREASURE ISLAND,108,3,21.05,12.5,27.062864681558572,45.59999999999999,11,9.517567304309887,9.5,0,AVENUE H & 6TH ST,AVENUE H&6TH ST NW-NS/SB,3674,0.0,21.05,12.5,27.12931533338137,45.59999999999999,TRANSBAY TERMINAL,76,909.0,2530.0,0.29262926292629265,0.2374043288235017,0.0,76.17116390187465,0.0,0.0,0.0,2.8449279712936306,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,0.0,0.0,29.7,
331,SFMTA,0.9598117243867244,3.9346811819595646,0.0,0.0,0.0,0.0,0.0,1629.5522727272726,0.006578947368421052,0.16,1.0087170017847649,1,26.14167655746072,1,3.692136055313701,0.0,,0.0,0.0,0.0002288778595819312,0.00015258523972128742,0,2.0,2.285077951002227,108.95770436376276,26.257309941520468,0.9563464784307236,1.3519734819494986,6.0,1147.7958854487213,1196.412886981252,2009-10-01,0.0,0.0,22,1.0,1.0,1,0.7073707370737073,5.861850649350648,54.47885218188138,0.6710853839143314,154.5687211173255,164.377105398616,7.1514463907612456,151.50905687923122,3.7629184921146654,0.0,TREASURE ISLAND,108,3,21.75,13.66,24.02909966456191,44.08000000000001,12,10.05055107335124,10.032000000000004,0,AVENUE H & 4TH ST,AVENUE H&4TH ST NW-NS/SB,3673,0.0,21.75,13.66,27.721235719875608,44.08000000000001,TRANSBAY TERMINAL,76,909.0,2530.0,0.29262926292629265,0.2400707170162057,7.126922397857616,76.17116390187465,0.0,0.0,0.0,0.0006103409588851497,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,0.0,0.0,29.7,
334,SFMTA,-0.6685246212121212,3.9346811819595646,0.0,0.0,1.2993403798148324,0.0,0.0,1608.5045454545457,0.004111842105263158,0.478125,-0.34387367091972365,1,82.16510417896075,1,24.90687354170509,0.0,,11.159557803591671,3.2594748040193497,0.055245335661344916,11.491029817559745,0,2.0,2.285077951002227,721.8459002848123,26.257309941520468,0.9563464784307236,1.3519734819494986,1.0,1339.6833657791842,1653.3241554902402,2009-10-01,0.0,0.0,22,1.0,11.0,10,0.7073707370737073,47.28216043135029,360.92295014240614,0.40260345465937575,754.8092458001166,868.2271997162311,48.73297256214213,245.16205593759065,3.7629184921146654,0.0,TREASURE ISLAND,108,3,5.32,9.15,132.39512799617515,91.19999999999996,15,13.939322994043062,13.907999999999996,0,TREASURE ISLAND RD/GUARD STATION,TREASURE ISLAND MAIN GATE,6685,1.0,5.32,9.15,157.30200153788022,91.19999999999996,TRANSBAY TERMINAL,76,909.0,2530.0,0.29262926292629265,0.27955004868773664,58.61703214722101,76.17116390187465,0.4166666666666667,0.0,0.0,1.6021147341790023,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,1.7678507411630373,0.0,29.7,
337,SFMTA,-0.2147348850052554,3.9346811819595646,0.0,0.0,0.0,0.0,0.0,579.0909090909091,0.017676767676767676,0.671875,-0.2141288243991948,1,0.3409090909090909,1,0.027272727272727268,0.0,,26.298528844741355,1.7113623048347804,0.017735578779388313,6.0984189911936095,0,2.0,1.875,0.6818181818181818,32.0,0.9563464784307236,1.3519734819494986,1.0,581.4397664629357,581.7806755538447,2009-10-01,0.0,0.0,22,2.0,9.0,2,0.7073707370737073,0.0,0.3409090909090909,0.3425102880658437,1.2272727272727273,1.2545454545454546,9.897770977576117,159.89593577730733,3.7629184921146654,0.0,TREASURE ISLAND,108,3,29.87,25.38,24.735977195966054,29.25,18,12.327390436156175,12.375,0,MACALLA RD/BLDG 240,MACALLA RD&BLDG. 240 S-NS,7257,0.0,29.87,25.38,24.76324992323879,29.25,TRANSBAY TERMINAL,45,909.0,2530.0,0.29262926292629265,0.2043984143102309,0.028409090909090905,44.826874313295185,0.0,0.0,0.0,9.281070708749004,0.19906687402799372,0.1057542768273717,0.22083981337480565,0.3297045101088647,0.343701399688958,,,,,,,,1.0983702137041076,0.0,29.7,
