,MONTH,DOW,AGENCY_ID,ROUTE_SHORT_NAME,DIR,SEQ,NUMDAYS,OBSDAYS,TRIP_STOPS,OBS_TRIP_STOPS,IMP_TRIP_STOPS,WGT_TRIP_STOPS,STOP_ID,ROUTE_LONG_NAME,ROUTE_TYPE,TRIP_HEADSIGN,HEADWAY_S,FARE,STOPNAME,STOPNAME_AVL,EOL,SOL,TIMEPOINT,ARRIVAL_TIME_DEV,DEPARTURE_TIME_DEV,DWELL_S,DWELL,RUNTIME_S,RUNTIME,TOTTIME_S,TOTTIME,SERVMILES_S,SERVMILES,RUNSPEED_S,RUNSPEED,TOTSPEED_S,TOTSPEED,ONTIME5,ON,OFF,LOAD_ARR,LOAD_DEP,PASSMILES,PASSHOURS,WAITHOURS,FULLFARE_REV,PASSDELAY_DEP,PASSDELAY_ARR,RDBRDNGS,DOORCYCLES,WHEELCHAIR,BIKERACK,CAPACITY,VC,CROWDED,CROWDHOURS,Total_Pop,Total_Housing_Units,VAC_RATE,OCC_RATE,AVG_HH_SIZE,POP_DEN_ACS,HH_DEN_ACS,HU_DEN_ACS,BART_TOS,BART_FROMS,CALTRAIN_ON,CALTRAIN_OFF,MUNI_RAIL_BOARDINGS,MUNI_RAIL_ALIGHTINGS,BIKE_ALIGHTINGS,BIKE_DOCKCOUNT,BIKE_BOARDINGS,NUM_BUS_STOPS,EDD_EMP,FREQ_S,PARK_HOURLY_AVG_ON,TRANSBAY,EDHLTH_RAC_DEN,EDHLTH_WAC_DEN,EMP_RAC_DEN,EMP_WAC_DEN,HOUSING_09_DEN,LEISER_RAC_DEN,LEISER_WAC_DEN,OTHER_RAC_DEN,OTHER_WAC_DEN,SHR_HH_0VEH,SHR_INCOME_0_15,SHR_INCOME_100P,SHR_INCOME_15_50,SHR_INCOME_50_100,PARK_12_HR_OFF_PUB,PARK_1_HR_OFF_PUB,PARK_2_HR_OFF_PUB,PARK_3_HR_OFF_PUB,PARK_4_HR_OFF_PUB,PARK_DAY_OFF_PUB,PARK_DAY_DISCOUNT_OFF_PUB,RETAIL_RAC_DEN,RETAIL_WAC_DEN,AVG_TT_TO_WORK_MINUTES,PARKING_RATE_OFF_RESIDENTIAL,EXCLUDE,AVG_RIDE,LOG_RIDERS,AVG_BART,CALTRAIN_AVG,MUNI_RAIL_AVG,BIKE_AVG,PARK_12_HR_OFF_PUB_LOG,BIKE_BOARDINGS_LOG,BIKE_ALIGHTINGS_LOG,BIKE_AVG_LOG,PARK_1_HR_OFF_PUB_LOG,PARK_2_HR_OFF_PUB_LOG,PARK_3_HR_OFF_PUB_LOG,PARK_4_HR_OFF_PUB_LOG,AVG_BART_LOG,AVG_HH_SIZE_LOG,PARK_HOURLY_AVG_ON_LOG,EDD_EMP_LOG,AVG_TT_TO_WORK_MINUTES_LOG,BART_FROMS_LOG,BART_TOS_LOG,CALTRAIN_AVG_LOG,CALTRAIN_OFF_LOG,CALTRAIN_ON_LOG,CAPACITY_LOG,CROWDED_LOG,CROWDHOURS_LOG,PARK_DAY_DISCOUNT_OFF_PUB_LOG,PARK_DAY_OFF_PUB_LOG,DWELL_LOG,DWELL_S_LOG,EDHLTH_RAC_DEN_LOG,EDHLTH_WAC_DEN_LOG,EMP_RAC_DEN_LOG,EMP_WAC_DEN_LOG,FARE_LOG,FREQ_S_LOG,FULLFARE_REV_LOG,HEADWAY_S_LOG,HH_DEN_ACS_LOG,HOUSING_09_DEN_LOG,HU_DEN_ACS_LOG,LEISER_RAC_DEN_LOG,LEISER_WAC_DEN_LOG,MUNI_RAIL_ALIGHTINGS_LOG,MUNI_RAIL_AVG_LOG,MUNI_RAIL_BOARDINGS_LOG,NUM_BUS_STOPS_LOG,OCC_RATE_LOG,OFF_LOG,ON_LOG,ONTIME5_LOG,OTHER_RAC_DEN_LOG,OTHER_WAC_DEN_LOG,PARKING_RATE_OFF_RESIDENTIAL_LOG,PASSDELAY_ARR_LOG,PASSDELAY_DEP_LOG,PASSHOURS_LOG,PASSMILES_LOG,POP_DEN_ACS_LOG,RDBRDNGS_LOG,RETAIL_RAC_DEN_LOG,RETAIL_WAC_DEN_LOG,RUNSPEED_LOG,RUNSPEED_S_LOG,RUNTIME_LOG,RUNTIME_S_LOG,SHR_HH_0VEH_LOG,SHR_INCOME_0_15_LOG,SHR_INCOME_100P_LOG,SHR_INCOME_15_50_LOG,SHR_INCOME_50_100_LOG,TOTSPEED_LOG,TOTSPEED_S_LOG,TOTTIME_LOG,TOTTIME_S_LOG,Total_Housing_Units_LOG,Total_Pop_LOG,VAC_RATE_LOG,VC_LOG,WAITHOURS_LOG,DIST_FROM_LAST_STOP,DIST_FROM_LAST_STOP_LOG,SERVMILES_S_LOG,EOL_SOL,LIMITED,EXPRESS,CAL_STATION,CLOSE_STOP
1368,2009-10-01,1,SFMTA,22,1,41,22,1.0,1,0,0.0,5.416309012875537,4919,FILLMORE,3,UNION ST.,,2.0,GREEN ST & STEINER ST,GREEN ST&STEINER ST NE-N - EOL,1,0,1.0,1.32,1.32,0.0,0.0,1.7199999999999995,1.7100271002710028,1.7199999999999995,1.7100271002710028,0.010000000000000002,0.03420054200542005,0.35,1.2,0.35,1.2,1.0,0.0,0.0,3.4200542005420056,3.4200542005420056,0.03420054200542005,0.028500451671183383,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.015873015873015872,0.0,0.0,3861.0,2705.0,0.11756007393715345,0.8824399260628466,1.6175115207373272,42.681521538264064,26.3871514923171,29.902490484590594,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,316.0,,168.0,0.0,66.85985709965398,39.66527521619805,392.8472181325391,224.58872127704842,467.5002673241532,35.04559144805743,25.75125863252152,265.502072805308,134.61768763685228,0.20025136154168413,0.0540427314620863,0.4746543778801842,0.1851696690406368,0.2861332216170926,,,,,,,,25.439696779519753,24.55449979147652,27.3,0.673707394,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.9622240651806919,5.1298987149230735,5.75890177387728,3.342861804649192,0.0,0.0,0.0,0.0,0.0,4.1588830833596715,0.0,0.0,,,0.0,0.0,4.217444653542697,3.7053745394846365,5.975963062858016,5.418713524034821,1.0986122886681098,,0.0,,3.3100739797768908,6.1495366722741585,3.430836778862654,3.584784566323876,3.2865815239181675,0.0,0.0,0.0,2.1972245773362196,0.6325687683967153,0.0,0.0,0.6931471805599453,5.5853820214567325,4.9098398067995594,0.5150411622847623,0.0,0.0,0.028101869266036826,0.033628705061668526,3.7769251645814355,0.0,3.2748665466696063,3.2408134182261503,0.7884573603642703,0.30010459245033816,0.9969586349416099,1.000631880307906,0.18253100281000983,0.05263299148150112,0.38842364225331255,0.16988594496273712,0.2516402142424128,0.7884573603642703,0.30010459245033816,0.9969586349416099,1.000631880307906,7.903226808730733,8.258940462988459,0.11114780349887614,0.015748356968139112,,,,0.009950330853168092,1,0,0,0,0
2051,2009-10-01,1,SFMTA,29,0,96,22,4.0,1,0,0.0,6.608707122073652,5906,SUNSET,3,,,2.0,PERSIA AVE & ATHENS ST,PERSIA AVE&ATHENS ST E-NS,0,0,0.0,-1.13,-1.02,0.0,0.7517910447761194,0.47,3.2577611940298508,0.47,4.009552238805971,0.113,0.7079365671641792,14.43,10.59,14.43,10.59,0.0,18.794776119402982,0.0,18.794776119402982,37.589552238805965,2.123809701492537,0.2380671641791045,,37.589552238805965,0.0,0.0,0.0,6.2649253731343295,0.0,0.0,63.0,0.047619047619047616,0.0,0.0,4421.0,1275.0,0.05803921568627453,0.9419607843137257,3.6810990840965867,44.794020837764094,12.16865393036749,12.918429443146167,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,23.0,,0.0,0.0,87.0831546157656,4.8231037958047045,458.38160016026603,32.199557344953455,277.5368983381493,63.154669330587424,2.4115509437810116,256.14909757545496,24.964902605367733,0.059950041631973365,0.07993338884263114,0.3263946711074105,0.25645295587010825,0.3372189841798501,,,,,,,,51.994678638457955,0.0,27.4,1.5420598909999998,0,9.397388059701491,2.341554626498734,0.0,0.0,0.0,,,,,,,,,,0.0,1.543532929386494,0.0,3.1780538303479458,3.3463891451671604,0.0,0.0,0.0,0.0,0.0,4.1588830833596715,0.0,0.0,,,0.5606387187210664,0.0,4.478281307120091,1.7618334178386044,6.129881237559704,3.502536542850228,1.0986122886681098,,3.65298157244531,,2.5778393032702813,5.629550540135896,2.633213821180599,4.16129687610702,1.2271670101183199,0.0,0.0,0.0,1.3862943611198906,0.6636981762119603,0.0,2.985418070537227,0.0,5.549656062883463,3.2567457262924338,0.9329747330719349,0.0,0.0,0.21355142495486754,1.1390533151068516,3.8241535332040284,0.0,3.9701915054634354,0.0,2.4501426573516603,2.7363136663750693,1.4487434808284965,0.3852624007906449,0.05822177647742299,0.07689936223646043,0.28246448783006506,0.2282926366878654,0.2905920724267234,2.4501426573516603,2.7363136663750693,1.6113465376109026,0.3852624007906449,7.151485463904735,8.394347361417392,0.05641739861522942,0.04652001563489291,,,,0.10705907229340778,0,0,0,0,0
3222,2009-10-01,1,SFMTA,4,0,37,22,0.0,1,0,0.0,,6089,SUTTER,3,,,2.0,PRESIDIO AVE & CALIFORNIA ST,,1,0,,,,0.0,,1.1499999999999997,,1.1499999999999997,,0.08000000000000003,,4.17,,4.17,,,,,,,,,,,,,,,,,,,,,3766.0,1945.0,0.15681233933161953,0.8431876606683805,2.296341463414634,26.217482606780948,11.417066244057553,13.540362100421914,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.0,1018.0,,185.0,0.0,59.641191811307685,351.39611043695845,318.69411915790727,1067.834468887468,473.73130154146446,42.87255184712164,308.375082368562,190.29808649194786,265.82443944712134,0.17317073170731706,0.04146341463414634,0.574390243902439,0.15426829268292686,0.2298780487804878,,,,,,,,25.88228900753004,142.238836634826,26.7,0.9484717690000001,0,,,0.0,0.0,0.0,,,,,,,,,,0.0,1.1928132060181489,5.225746673713202,6.926577033222725,3.3214324131932926,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,4.104974395021385,5.8647558566485545,5.767364661019871,6.974324052344196,1.0986122886681098,,,,2.519071836369138,6.162748963011462,2.6769283755381905,3.7812888818730417,5.734554399564736,0.0,0.0,0.0,2.0794415416798357,0.611496496981174,,,,5.253832873740393,5.586590911971892,0.6670453571107068,,,,,3.3038595097275616,,3.2914676685594726,4.964513423307428,,1.6428726885203377,,0.7654678421395712,0.15971011040740762,0.0406268535302711,0.4538680505883436,0.14346663039107876,0.20691501713596774,,1.6428726885203377,,0.7654678421395712,7.57353126274595,8.23403420769204,0.14566823914591925,,,,,0.0769610411361284,1,0,0,0,0
3874,2009-10-01,1,SFMTA,48,1,25,22,5.0,1,0,0.0,5.826611470028642,6467,QUINTARA - 24TH STREET,3,3RD ST. & 20TH ST.,,2.0,SANTIAGO ST & 14TH AVE,SANTIAGO ST&14TH AVE SW-N,0,1,1.0,-10.42,-10.02,0.0,2.9664429530201346,0.0,0.0,0.0,2.9664429530201346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.91275167785236,51.91275167785236,0.0,0.3460850111856824,,0.0,0.0,0.0,0.0,14.832214765100673,0.0,0.0,63.0,0.1111111111111111,0.0,0.0,5320.0,1994.0,0.06318956870611836,0.9368104312938816,2.8479657387580297,22.208512335646486,7.79802651183978,8.324017593473513,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,18.0,,200.0,0.0,61.29157734787199,9.885652709623995,241.48149438439262,47.683898559222186,198.34475901030032,24.14771799012425,0.0,139.79197208624578,29.004286821656013,0.057815845824411134,0.046573875802997856,0.5556745182012848,0.15738758029978586,0.2403640256959315,,,,,,,,16.250226960150684,8.793959027942186,34.4,1.443421053,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,1.3475446291146616,5.303304908059076,2.9444389791664403,3.5667118201397288,0.0,0.0,0.0,0.0,0.0,4.1588830833596715,0.0,0.0,,,1.377869711460639,0.0,4.131826221595498,2.3874456570250677,5.490925395648706,3.88534835035272,1.0986122886681098,,0.0,,2.1745274363159157,5.295035783089492,2.232593608073652,3.2247671564498352,0.0,0.0,0.0,0.0,0.0,0.6610425124666761,0.0,0.0,0.0,4.94728342566553,3.401340265508973,0.8933991282231097,0.0,0.0,0.29720038761273726,0.0,3.144519122396122,0.0,2.8478253005009995,2.2817657698878944,0.0,0.0,0.0,0.0,0.056206259519025185,0.04552185363067823,0.4419092253414403,0.14616537941036573,0.21540490564358822,0.0,0.0,1.377869711460639,0.0,7.598399329323964,8.579416534596369,0.0612734171442745,0.10536051565782635,,,,0.0,1,0,0,0,0
3903,2009-10-01,1,SFMTA,48,1,54,22,2.0,1,0,0.0,7.135410588555647,3510,QUINTARA - 24TH STREET,3,3RD ST. & 20TH ST.,,2.0,25TH ST & NOE ST,25TH ST&NOE ST SW-NS,0,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,3610.0,1862.0,0.03329752953813104,0.9667024704618692,2.0055555555555555,41.30502484569042,20.595303247158657,21.304697025671906,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1.0,15.0,,0.0,0.0,63.53681027897493,15.883722647750766,315.2352040461972,160.389572457468,344.98411877583465,36.31340260140609,28.429479423661185,195.0146033788947,57.163204650400715,0.17222222222222222,0.06111111111111111,0.5022222222222221,0.15222222222222226,0.28444444444444444,,,,,,,,20.37038778692149,58.913165735655326,31.7,,0,,,0.0,0.0,0.0,,,,,,,,,,0.0,1.1004624279562711,0.0,2.772588722239781,3.487375077903208,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,4.167235763012885,2.8263500008575133,5.756486253322576,5.083821146917684,1.0986122886681098,,,,3.07247584878495,5.846392874512503,3.1047972852408066,3.6193525811826808,3.381996873460366,0.0,0.0,0.0,-inf,0.6763582673974438,,,,5.2781891634901825,4.0632529322987665,,,,,,3.744905869675439,,3.062006215489366,4.092896276222977,,0.0,,0.0,0.15890128258585617,0.0593165771564195,0.4069454932785986,0.1416924449052166,0.2503262859080121,,0.0,,0.0,7.529943370601589,8.191740021277457,0.03275517338863941,,,,,0.0,1,0,0,0,0
3904,2009-10-01,1,SFMTA,48,1,55,22,2.0,1,0,0.0,7.135410588555647,5495,QUINTARA - 24TH STREET,3,3RD ST. & 20TH ST.,,2.0,NOE ST & 24TH ST,NOE ST&24TH ST SE-NS,0,0,,,,0.0,,3.229999999999998,,3.229999999999998,,0.10700000000000004,,1.99,,1.99,,,,,,,,,,,,,,,,,,,,,3610.0,1862.0,0.03329752953813104,0.9667024704618692,2.0055555555555555,41.30502484569042,20.595303247158657,21.304697025671906,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,408.0,,173.0,0.0,73.49438418792391,20.140894766143973,356.7024583395622,373.2024396093392,406.2748904202095,32.325282050002045,80.84691079683898,228.48793768107697,125.35730212823296,0.17222222222222222,0.06111111111111111,0.5022222222222221,0.15222222222222226,0.28444444444444444,,,,,,,,22.394854420559287,146.85733191812338,31.7,0.6831070890000001,0,,,0.0,0.0,0.0,,,,,,,,,,0.0,1.1004624279562711,5.159055299214529,6.013715156042802,3.487375077903208,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,4.31072374251643,3.0512093052864,5.879701518870828,5.924796933351979,1.0986122886681098,,,,3.07247584878495,6.0094883638961765,3.1047972852408066,3.5063163296449216,4.404850560854905,0.0,0.0,0.0,0.6931471805599453,0.6763582673974438,,,,5.435850468995473,4.8391136250272035,0.520641543012066,,,,,3.744905869675439,,3.1525161016255674,4.996247835316637,,1.095273387402595,,1.4422019930581862,0.15890128258585617,0.0593165771564195,0.4069454932785986,0.1416924449052166,0.2503262859080121,,1.095273387402595,,1.4422019930581862,7.529943370601589,8.191740021277457,0.03275517338863941,,,,,0.10165365372649982,0,0,0,0,0
4267,2009-10-01,1,SFMTA,53,1,9,22,5.0,1,0,0.0,1.87,3504,SOUTHERN HEIGHTS,3,MISSION & 16TH ST.,,2.0,25TH ST & CONNECTICUT ST,25TH ST&CONNECTICUT ST NE,0,1,1.0,0.7675,0.7675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,6254.0,2595.0,0.04547206165703276,0.9545279383429672,2.5248284214775945,33.997382114925685,13.465224735956333,14.106684775860591,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.0,74.0,,0.0,0.0,46.54539378483647,6.32642615252187,224.28106986449188,139.74266067600107,255.68238428603772,25.192334045421475,0.3517284584407887,127.74404190032914,132.3612941794667,0.21800565199838515,0.18813080339119906,0.35446104158255953,0.20185708518368994,0.2555510698425515,,,,,,,,24.799300133904772,0.703211885571655,26.7,0.54321037,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,1.2598317603214482,0.0,4.31748811353631,3.3214324131932926,0.0,0.0,0.0,0.0,0.0,4.1588830833596715,0.0,0.0,,,0.0,0.0,3.8616849133177458,1.991487832542226,5.417348822001777,4.946933121262372,1.0986122886681098,,0.0,,2.6717474748408563,5.547839461782751,2.7151373462460917,3.265466774266964,0.30138411310031615,0.0,0.0,0.0,1.9459101490553132,0.6701487005170729,0.0,0.0,0.5596157879354227,4.857826261970757,4.89306194280057,0.43386490238981135,0.0,0.0,0.0,0.0,3.5552732619755907,0.0,3.250347364966801,0.5325158129497538,0.0,0.0,0.0,0.0,0.19721480966970148,0.17238131874411322,0.3034036199164226,0.18386793152641673,0.2275745756839202,0.0,0.0,0.0,0.0,7.86172707782398,8.741136422901011,0.044468517058942746,0.0,,,,0.0,1,0,0,0,0
4645,2009-10-01,1,SFMTA,66,1,16,22,6.0,1,0,0.0,1.6310679611650487,3248,QUINTARA,3,MASONIC & HAIGHT,,2.0,14TH AVE & SANTIAGO ST,14TH AVE&SANTIAGO ST SE-N,0,1,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,5320.0,1994.0,0.06318956870611836,0.9368104312938816,2.8479657387580297,22.208512335646486,7.79802651183978,8.324017593473513,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,18.0,,0.0,0.0,57.874505516161356,11.297905801409454,228.78709943621516,48.57166403865649,188.103236554847,22.417318591973185,0.0,132.82728382038962,28.17056776615777,0.057815845824411134,0.046573875802997856,0.5556745182012848,0.15738758029978586,0.2403640256959315,,,,,,,,15.667991507691095,9.103190471089253,34.4,1.6138669209999998,0,,,0.0,0.0,0.0,,,,,,,,,,0.0,1.3475446291146616,0.0,2.9444389791664403,3.5667118201397288,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,4.075408153425071,2.5094289878344727,5.43715322561524,3.903419380939617,1.0986122886681098,,,,2.1745274363159157,5.242293091090904,2.232593608073652,3.153475859384826,0.0,0.0,0.0,0.0,0.0,0.6610425124666761,,,,4.896550041856895,3.3731602477340124,0.9608307038066025,,,,,3.144519122396122,,2.813490204062303,2.3128512621916912,,0.0,,0.0,0.056206259519025185,0.04552185363067823,0.4419092253414403,0.14616537941036573,0.21540490564358822,,0.0,,0.0,7.598399329323964,8.579416534596369,0.0612734171442745,,,,,0.0,1,0,0,0,0
4656,2009-10-01,1,SFMTA,66,1,27,22,5.0,1,0,0.0,1.6310679611650487,3217,QUINTARA,3,MASONIC & HAIGHT,,2.0,9TH AVE & KIRKHAM ST,9TH AVE&KIRKHAM ST SE-NS/,0,0,,,,0.0,,1.4800000000000002,,1.4800000000000002,,0.12699999999999995,,5.15,,5.15,,,,,,,,,,,,,,,,,,,,,6169.0,2517.0,0.06595152959872863,0.9340484704012714,2.623989791578052,33.11784922445459,12.621180665698288,13.512340168252909,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,27.0,,0.0,0.0,147.61056239537294,53.50758968032429,535.6760731726952,77.90936754474849,478.4809001369457,59.028476237146435,4.642008101181091,286.9381598537073,19.060905748962103,0.08464483198638878,0.06082518077413866,0.4619310931518503,0.20884729902169288,0.2683964270523181,,,,,,,,42.09887468646848,0.6988640142810006,31.9,0.864436963,0,,,0.0,0.0,0.0,,,,,,,,,,0.0,1.287575571283292,0.0,3.332204510175204,3.493472657771326,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,5.001329209134308,3.998339952162835,6.285394696807776,4.368299947607255,1.0986122886681098,,,,2.6116259831389543,6.172704060656203,2.67499933357855,4.094819053585708,1.7302400484492257,0.0,0.0,0.0,0.0,0.6596154589721019,,,,5.662745734349537,2.9987729335065976,0.6229591110011069,,,,,3.5298206850110514,,3.7634968874061663,0.5299598008055404,,1.8164520818184267,,0.908258560176891,0.08125258961240238,0.05904707769991226,0.3797582283097644,0.1896672601169765,0.2377534467846141,,1.8164520818184267,,0.908258560176891,7.831220214604293,8.727454116899434,0.06386785529030815,,,,,0.11955923505763925,0,0,0,0,0
4657,2009-10-01,1,SFMTA,66,1,28,22,5.0,1,0,0.0,1.6310679611650487,3214,QUINTARA,3,MASONIC & HAIGHT,,2.0,9TH AVE & JUDAH ST,9TH AVE&JUDAH ST SE-NS/BZ,0,0,,,,0.0,,1.5500000000000005,,1.5500000000000005,,0.12800000000000009,,4.95,,4.95,,,,,,,,,,,,,,,,,,,,,4770.0,2112.0,0.07386363636363638,0.9261363636363636,2.4386503067484657,54.3299360390372,22.278690753114624,24.0555188499888,0.0,0.0,0.0,0.0,1210.0,1343.0,,,,3.0,289.0,,164.0,0.0,144.85614193671375,65.08386359619666,530.111482234004,315.65409473715187,501.9372993319167,60.13070098991165,86.70466604128906,281.6318921991229,122.0478019810906,0.18302658486707565,0.11298568507157465,0.34764826175869123,0.20961145194274028,0.32975460122699385,,,,,,,,43.49274710825578,41.81776311857561,32.4,0.769501245,0,,,0.0,0.0,1276.5,,,,,,,,,,0.0,1.235079041705452,5.10594547390058,5.66988092298052,3.5085558999826545,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,4.982620806751816,4.190924595968954,6.274971946915992,5.757809994308332,1.0986122886681098,,,,3.147538382154379,6.220465508914184,3.221094116638253,4.113014211174488,4.473975102538526,7.203405521083095,7.1526603220778595,7.099201743553092,1.3862943611198906,0.6555161123422986,,,,5.644145316675397,4.812572913866394,0.5706977243917177,,,,,4.013314100918698,,3.7953261895571484,3.7569530426231705,,1.7833912195575383,,0.9360933591703351,0.16807605715885915,0.10704621063978484,0.2983610450276351,0.19029919394356948,0.2849944148538889,,1.7833912195575383,,0.9360933591703351,7.655864017616056,8.470311205516108,0.0712630200214907,,,,,0.12044615307586726,0,0,0,0,0
