,BLOCKCE,BLOCKID10,COUNTYFP10,HOUSING16,PARTFLG,STATEFP10,TRACTCE10,geometry
0,3028,6.08E+13,75,32,N,6,31302,"POLYGON ((-122.469306 37.712526, -122.468748 37.712416, -122.468445 37.712383, -122.468444 37.712262, -122.46843 37.711018, -122.468894 37.710839, -122.469288 37.710593, -122.469303 37.712188, -122.469305 37.712413, -122.469306 37.712526))"
1,6025,6.08E+13,75,1,N,6,25500,"POLYGON ((-122.442387 37.725793, -122.443066 37.724988, -122.444019 37.723843, -122.444747 37.722967, -122.444811 37.722998, -122.447217 37.72299599999999, -122.447272 37.722957, -122.447328 37.723006, -122.447453 37.723006, -122.447639 37.723006, -122.447529 37.723365, -122.44734 37.72382899999999, -122.447306 37.723913, -122.446653 37.7251, -122.446352 37.725506, -122.446062 37.725895, -122.445509 37.726482, -122.445257 37.726734, -122.444837 37.727153, -122.444436 37.72748, -122.444237 37.727643, -122.443624 37.728063, -122.443219 37.72829, -122.443036 37.728269, -122.442922 37.72822, -122.443123 37.72811, -122.443667 37.727781, -122.444199 37.727414, -122.444225 37.727394, -122.444601 37.727101, -122.44493 37.726821, -122.445016 37.726734, -122.444944 37.726734, -122.444846 37.726735, -122.444254 37.72673899999999, -122.443611 37.726743, -122.441582 37.726759, -122.442387 37.725793))"
2,1010,6.08E+13,75,64,N,6,26100,"POLYGON ((-122.439127 37.720972, -122.439382 37.72057, -122.439704 37.720696, -122.439795 37.720663, -122.440473 37.720934, -122.440109 37.721517, -122.439765 37.722069, -122.439168 37.721834, -122.438642 37.721626, -122.438749 37.72157, -122.439127 37.720972))"
3,1001,6.08E+13,75,0,N,6,20100,"POLYGON ((-122.418618 37.773053, -122.418855 37.77321999999999, -122.419664 37.773893, -122.42015 37.774298, -122.420254 37.774359, -122.420149 37.774378, -122.419291 37.775058, -122.419256 37.775147, -122.41928 37.774945, -122.419015 37.774098, -122.41873 37.773183, -122.418618 37.773053))"
4,2006,6.08E+13,75,161,N,6,17802,"POLYGON ((-122.413587 37.77466, -122.413161 37.774992, -122.412627 37.774565, -122.41217 37.7742, -122.41161 37.773769, -122.412225 37.773285, -122.413769 37.774516, -122.413587 37.77466))"
5,2009,6.08E+13,75,0,N,6,18000,"POLYGON ((-122.406296 37.775514, -122.406105 37.775362, -122.406511 37.774985, -122.406584 37.774897, -122.406604 37.774913, -122.406829 37.775093, -122.406369 37.775457, -122.406296 37.775514))"
6,2017,6.08E+13,75,114,N,6,61500,"POLYGON ((-122.395896 37.784897, -122.39666 37.784296, -122.396992 37.784019, -122.397812 37.784667, -122.396705 37.785542, -122.395896 37.784897))"
7,4003,6.08E+13,75,82,N,6,20900,"POLYGON ((-122.419018 37.752204, -122.419557 37.752171, -122.419585 37.752471, -122.419609 37.752733, -122.419705 37.75377, -122.418594 37.753837, -122.418445 37.752239, -122.419018 37.752204))"
8,1008,6.08E+13,75,95,N,6,25200,"POLYGON ((-122.417823 37.745957, -122.418285 37.746694, -122.416355 37.747434, -122.416181 37.74703, -122.415914 37.746644, -122.416004 37.746654, -122.417823 37.745957))"
9,2002,6.08E+13,75,135,N,6,25200,"POLYGON ((-122.411452 37.745239, -122.411358 37.744266, -122.412275 37.744211, -122.41328 37.74415, -122.413376 37.745149, -122.413532 37.746766, -122.412547 37.746825, -122.412387 37.745163, -122.411918 37.745211, -122.411452 37.745239))"
10,3041,6.08E+13,75,0,N,6,25100,"POLYGON ((-122.407114 37.73905999999999, -122.4072 37.73846, -122.407347 37.738463, -122.407635 37.73822, -122.407776 37.738102, -122.407726 37.738662, -122.407642 37.73960599999999, -122.407629 37.73935, -122.40754 37.738926, -122.40749 37.738828, -122.40747 37.738789, -122.407372 37.738757, -122.407257 37.738797, -122.407174 37.738921, -122.407114 37.73905999999999))"
11,3036,6.08E+13,75,59,N,6,25100,"POLYGON ((-122.408854 37.736831, -122.408993 37.736828, -122.409138 37.736823, -122.409762 37.736858, -122.410377 37.736894, -122.410264 37.738123, -122.410196 37.738141, -122.409645 37.738108, -122.409571 37.738887, -122.408957 37.738851, -122.408947 37.738961, -122.408883 37.739681, -122.408263 37.739643, -122.408137 37.739635, -122.408155 37.73949, -122.408182 37.739062, -122.408065 37.738092, -122.408047 37.738004, -122.408227 37.738015, -122.408408 37.738026, -122.408452 37.737531, -122.40822 37.737727, -122.408025 37.737892, -122.407987 37.737706, -122.408125 37.737657, -122.408217 37.737612, -122.408465 37.737489, -122.408684 37.737234, -122.40879 37.736997, -122.408854 37.736831))"
12,3006,6.08E+13,75,46,N,6,25402,"POLYGON ((-122.409743 37.735671, -122.410006 37.735519, -122.410454 37.735279, -122.410547 37.735245, -122.410718 37.735228, -122.410845 37.735229, -122.410968 37.735184, -122.411166 37.735072, -122.411108 37.73575, -122.410998 37.736929, -122.410377 37.736894, -122.409762 37.736858, -122.409138 37.736823, -122.409164 37.736453, -122.40926 37.73621, -122.409477 37.735924, -122.409635 37.735765, -122.40971 37.73569, -122.409743 37.735671))"
13,2011,6.08E+13,75,80,N,6,61400,"POLYGON ((-122.394587 37.752427, -122.394734 37.752664, -122.396323 37.754417, -122.396675 37.754707, -122.396573 37.754828, -122.39647 37.754884, -122.395943 37.754932, -122.39578 37.755028, -122.395724 37.755184, -122.395763 37.755621, -122.395531 37.755562, -122.395304 37.755308, -122.39531 37.755064, -122.395324 37.754833, -122.394795 37.754765, -122.394587 37.752427))"
14,1002,6.08E+13,75,0,N,6,23001,"POLYGON ((-122.400724 37.738795, -122.400273 37.739292, -122.399739 37.739882, -122.399718 37.739905, -122.399705 37.73992, -122.399685 37.739902, -122.400246 37.739276, -122.400764 37.738698, -122.400808 37.738649, -122.40084 37.738667, -122.400724 37.738795))"
15,1007,6.08E+13,75,339,N,6,60700,"POLYGON ((-122.393355 37.775787, -122.392695 37.77529, -122.392784 37.775219, -122.394948 37.773529, -122.395335 37.773838, -122.395577 37.774031, -122.393355 37.775787))"
16,1048,6.08E+13,75,0,N,6,17902,"POLYGON ((-122.367922 37.824074, -122.368844 37.823674, -122.370018 37.825313, -122.369168 37.825699, -122.368427 37.824743, -122.367922 37.824074))"
17,2001,6.08E+13,75,94,N,6,47701,"POLYGON ((-122.479383 37.780335, -122.479241 37.778408, -122.48031 37.77836, -122.480451 37.78028, -122.480316 37.78022199999999, -122.479491 37.780252, -122.479383 37.780335))"
18,2003,6.08E+13,75,65,N,6,47702,"POLYGON ((-122.481113 37.774583, -122.480979 37.772716, -122.482049 37.772667, -122.482184 37.774534, -122.481113 37.774583))"
19,2000,6.08E+13,75,78,N,6,47702,"POLYGON ((-122.479106 37.776546, -122.478972 37.774681, -122.48004 37.774632, -122.480175 37.776498, -122.479106 37.776546))"
20,1010,6.08E+13,75,0,N,6,980300,"POLYGON ((-122.471762 37.773139, -122.471673 37.773046, -122.471682 37.772899, -122.471719 37.772769, -122.471804 37.772609, -122.471946 37.772481, -122.472106 37.772377, -122.472298 37.772326, -122.472427 37.772296, -122.472633 37.772303, -122.473983 37.772423, -122.474421 37.772483, -122.474697 37.7725, -122.47506 37.772504, -122.475766 37.772419, -122.476282 37.772369, -122.477949 37.772287, -122.478416 37.772256, -122.478713 37.772205, -122.478881 37.772139, -122.479057 37.772043, -122.479196 37.771919, -122.479288 37.771811, -122.479361 37.771669, -122.479403 37.771526, -122.479407 37.771404, -122.479504 37.771269, -122.479553 37.771449, -122.479546 37.771543, -122.479499 37.771704, -122.479417 37.771865, -122.479311 37.77199, -122.479153 37.772129, -122.478955 37.772238, -122.478761 37.772314, -122.478434 37.77237, -122.477905 37.772388, -122.476239 37.77247, -122.475808 37.77251, -122.475074 37.772604, -122.474689 37.772615, -122.473962 37.772536, -122.473557 37.772483, -122.472623 37.772417, -122.472445 37.772411, -122.472176 37.772479, -122.472046 37.772563, -122.471928 37.77267, -122.471857 37.772804, -122.471825 37.772914, -122.471817 37.773051, -122.471762 37.773139))"
21,2002,6.08E+13,75,85,N,6,47600,"POLYGON ((-122.473833 37.778653, -122.473698 37.776793, -122.474821 37.776742, -122.474956 37.778602, -122.473833 37.778653))"
22,2005,6.08E+13,75,0,N,6,40200,"POLYGON ((-122.471915 37.782596, -122.471775 37.780681, -122.471874 37.780745, -122.472167 37.780736, -122.472312 37.780656, -122.472254 37.780829, -122.472375 37.782504, -122.472451 37.782579, -122.471915 37.782596))"
